PreferredSponsors,Gender,Country,Degree,Sign Up Date,city,isFromSocialMedia
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,India,Undergraduate Student,2023-07-06T17:52:20.110Z,vzg,True
"[""GlobalShala"",""Saint Louis University"",""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",Female,United States,Not in Education,2023-02-09T16:34:25.703Z,Bronx,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,United States,Undergraduate Student,2023-10-12T16:57:39.099Z,Hyderabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,Haiti,Undergraduate Student,2023-03-13T01:10:55.724Z,Delmas,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,India,High School Student,2023-05-10T00:58:20.355Z,Sirhind,False
"[""GlobalShala"",""Illinois Institute of Technology"",""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",Female,India,Undergraduate Student,2022-08-29T08:46:47.600Z,Hyderabad,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Nigeria,Not in Education,2023-11-02T13:49:50.238Z,Abeokuta,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,Pakistan,Undergraduate Student,2023-06-16T19:15:10.311Z,Hyderabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Zimbabwe,High School Student,2023-06-14T06:51:06.958Z,Hyderabad,True
"[""GlobalShala"",""Illinois Institute of Technology"",""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",Male,India,Undergraduate Student,2022-10-29T00:50:20.251Z,Hyderabad,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Undergraduate Student,2023-08-18T14:48:55.312Z,Krishnagiri,True
"[""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",Female,United States,Undergraduate Student,2022-09-27T16:57:20.230Z,Binghamton,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Ghana,Graduate Program Student,2023-07-12T05:50:30.056Z,Accra,True
"[""GlobalShala"",""Illinois Institute of Technology"",""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",Female,India,Undergraduate Student,2022-11-29T10:24:31.212Z,Hyderabad,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Nigeria,Undergraduate Student,2023-08-05T03:36:50.043Z,Hyderabad,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Nigeria,Graduate Program Student,2023-06-15T23:39:11.720Z,Agege,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,Philippines,Undergraduate Student,2023-06-14T11:19:16.341Z,Samar,True
"[""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",Male,United States,High School Student,2022-10-13T11:48:13.628Z,Absecon,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Pakistan,Undergraduate Student,2023-08-12T06:46:39.656Z,Islamabad,True
"[""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",Male,Ghana,Undergraduate Student,2023-01-23T19:04:27.249Z,Kumasi,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,United States,Undergraduate Student,2023-05-10T04:58:33.620Z,Claremont,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,Egypt,Graduate Program Student,2023-06-12T20:36:05.255Z,Cairo,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,Pakistan,Undergraduate Student,2023-06-11T07:30:28.578Z,Hyderabad,True
"[""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate"",""GlobalShala""]",Male,India,Undergraduate Student,2023-06-25T13:36:55.025Z,Navi Mumbai,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Pakistan,High School Student,2023-06-16T04:18:34.127Z,faisal abad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Afghanistan,Undergraduate Student,2023-06-07T04:08:10.512Z,Hyderabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Uzbekistan,High School Student,2023-03-25T12:39:25.032Z,Samarkand,False
"[""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",Male,United States,Undergraduate Student,2022-11-14T00:26:00.351Z,Hyderabad,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Ethiopia,Undergraduate Student,2023-09-27T07:23:11.240Z,Adama,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,India,Undergraduate Student,2023-06-15T14:51:28.786Z,Hyderabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,Kenya,Graduate Program Student,2023-08-17T16:59:42.610Z,NAIROBI,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,India,Undergraduate Student,2023-06-16T16:16:25.892Z,Hyderabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Undergraduate Student,2023-10-08T06:46:14.256Z,Hyderabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Undergraduate Student,2023-05-07T04:08:12.214Z,Hyderabad,True
"[""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",Female,United States,High School Student,2022-10-18T23:47:24.600Z,chicago,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Egypt,Undergraduate Student,2023-06-13T03:25:34.771Z,zagazig,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Not in Education,2023-06-16T14:47:57.024Z,Allahabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,India,Graduate Program Student,2023-06-15T20:48:59.727Z,Dombivli,True
"[""GlobalShala"",""Illinois Institute of Technology"",""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",Male,Nepal,Graduate Program Student,2022-08-26T06:35:59.899Z,Bhaktapur,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Undergraduate Student,2023-06-16T04:07:02.116Z,Hyderabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,United States,Undergraduate Student,2023-07-27T05:08:44.323Z,Las Vegas,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Graduate Program Student,2023-07-29T13:01:49.647Z,Nagpur,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,Poland,Undergraduate Student,2023-04-25T07:34:11.651Z,Hyderabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,Nigeria,Graduate Program Student,2023-06-15T23:11:09.792Z,Kano,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,India,Undergraduate Student,2023-07-09T02:41:19.232Z,Kushinagar,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Undergraduate Student,2023-07-06T15:04:48.015Z,Indore,False
"[""GlobalShala"",""Illinois Institute of Technology"",""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",Male,India,Graduate Program Student,2022-08-16T17:05:49.722Z,ITARSI,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,Pakistan,Not in Education,2023-07-15T23:11:18.503Z,sheikhupura,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Undergraduate Student,2023-07-11T18:30:51.241Z,New Delhi,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,Nigeria,Graduate Program Student,2023-08-30T22:12:43.564Z,Port harcourt,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,Egypt,Undergraduate Student,2023-06-14T09:47:01.451Z,Hyderabad,True
"[""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",Female,United States,Undergraduate Student,2022-11-12T05:20:03.352Z,Hyderabad,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,United States,Undergraduate Student,2023-07-02T19:58:48.158Z,Hyderabad,True
"[""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",Male,India,Undergraduate Student,2022-10-24T08:49:48.527Z,Hyderabad,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,Pakistan,Undergraduate Student,2023-06-06T13:36:32.418Z,Hyderabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Not in Education,2023-05-04T03:30:42.614Z,NAGPUR,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Don't want to specify,Bangladesh,Undergraduate Student,2023-06-15T19:43:31.597Z,Hyderabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Nigeria,Undergraduate Student,2023-07-05T22:06:45.757Z,Victoria Island,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Nigeria,Not in Education,2023-06-15T16:33:38.209Z,Maitama,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Not in Education,2023-06-24T17:17:55.467Z,Bengaluru,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Nigeria,Not in Education,2023-06-15T09:19:21.030Z,Lagos,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Nepal,Undergraduate Student,2023-09-22T09:01:56.451Z,kathmandu,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Undergraduate Student,2023-07-23T14:35:51.766Z,Hyderabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Nigeria,Undergraduate Student,2023-02-18T21:17:21.881Z,Hyderabad,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Not in Education,2023-06-16T05:04:51.487Z,BALASORE,True
"[""GlobalShala"",""Illinois Institute of Technology"",""Excelerate"",""Grant Thornton China"",""Saint Louis University""]",Male,Nigeria,Graduate Program Student,2023-06-16T10:22:45.294Z,Akure,False
"[""Saint Louis University""]",Female,United States,Undergraduate Student,2023-09-28T20:31:06.533Z,SAINT LOUIS,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,Nigeria,Graduate Program Student,2023-07-18T13:04:30.090Z,Port Hacourt,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,Nigeria,Undergraduate Student,2023-07-30T17:09:09.152Z,Hyderabad,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Afghanistan,Undergraduate Student,2023-06-16T04:11:14.892Z,Hyderabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Undergraduate Student,2023-06-15T06:56:37.073Z,Hyderabad,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Not in Education,2023-06-14T08:52:29.575Z,Nagpur,True
"[""Saint Louis University""]",Male,United States,Undergraduate Student,2023-08-09T15:13:28.271Z,Hyderabad,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,India,Undergraduate Student,2023-08-17T10:36:51.787Z,Hyderabad,True
"[""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",Female,United States,High School Student,2022-09-24T00:32:42.448Z,Edison,False
"[""GlobalShala"",""Saint Louis University"",""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",Female,India,Undergraduate Student,2023-01-20T14:09:16.693Z,UNNAO,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,Pakistan,Undergraduate Student,2023-09-17T12:37:41.771Z,Hyderabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,India,Undergraduate Student,2023-08-07T15:08:18.417Z,Hyderabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Don't want to specify,India,Undergraduate Student,2023-06-26T08:34:40.692Z,Goa,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,India,Undergraduate Student,2023-10-12T18:18:12.380Z,Hyderabad,True
"[""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",Male,United States,Undergraduate Student,2023-01-11T17:07:34.180Z,Hyderabad,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,India,Not in Education,2023-07-06T09:18:27.891Z,Nizamabad,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,United States,Undergraduate Student,2023-04-11T16:13:11.536Z,Hyderabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Nigeria,Undergraduate Student,2023-06-15T07:05:42.293Z,Aboh Mbaise,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Egypt,Not in Education,2023-06-13T21:41:15.421Z,Cairo,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,India,Undergraduate Student,2023-05-04T05:23:32.142Z,Draksharamam,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Not in Education,2023-04-30T04:17:40.111Z,Dehradun,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,Nigeria,Not in Education,2023-05-19T14:18:01.556Z,Port Harcourt,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Egypt,Graduate Program Student,2023-04-21T16:19:10.831Z,Cairo,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,United States,Graduate Program Student,2023-07-27T19:44:55.870Z,CHICAGO,True
"[""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",Male,United States,Undergraduate Student,2022-10-18T22:22:45.048Z,Hyderabad,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Undergraduate Student,2023-06-20T04:48:16.749Z,gajapathinagaram,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Sierra Leone,Undergraduate Student,2023-06-15T16:57:45.508Z,Hyderabad,True
"[""GlobalShala"",""Illinois Institute of Technology"",""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",Male,India,Graduate Program Student,2022-10-10T13:39:32.461Z,Hyderabad,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Nigeria,Graduate Program Student,2023-02-21T20:24:13.079Z,Ibadan,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,Nepal,Undergraduate Student,2023-06-16T07:00:47.986Z,Hyderabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Ghana,Undergraduate Student,2023-07-08T18:50:17.490Z,Hyderabad,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,India,Undergraduate Student,2023-06-25T14:19:26.605Z,Hyderabad,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Nigeria,Undergraduate Student,2023-08-06T21:41:52.042Z,Kano,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,Nigeria,Undergraduate Student,2023-03-22T20:29:59.641Z,Independence layout,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,Canada,Undergraduate Student,2023-06-06T09:55:50.500Z,Hyderabad,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Egypt,Graduate Program Student,2023-04-22T10:58:35.535Z,Nasr s,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Undergraduate Student,2023-08-04T08:24:32.609Z,Rajamahandravaram,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Pakistan,Undergraduate Student,2023-03-25T01:47:23.644Z,Lahore,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Undergraduate Student,2023-08-30T19:08:28.248Z,New Delhi,True
"[""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",Male,Ireland,Graduate Program Student,2023-01-30T22:23:40.263Z,Dublin,False
"[""GlobalShala"",""Illinois Institute of Technology"",""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",Female,Egypt,Undergraduate Student,2022-08-14T01:02:09.698Z,Hyderabad,False
"[""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",Male,India,Not in Education,2022-10-15T08:57:29.610Z,Hyderabad,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Undergraduate Student,2023-08-29T07:46:37.368Z,Virudhunagar,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Nigeria,Not in Education,2023-06-16T05:57:07.903Z,Shomolu,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,India,Undergraduate Student,2023-06-15T20:18:46.777Z,Hyderabad,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Undergraduate Student,2023-03-31T18:20:07.827Z,Ahmedabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Undergraduate Student,2023-06-16T10:55:36.602Z,Delhi,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Ghana,Not in Education,2023-07-09T06:32:41.657Z,Accra,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Undergraduate Student,2023-07-07T02:38:03.605Z,Surat,False
"[""GlobalShala"",""Illinois Institute of Technology"",""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",Female,United States,High School Student,2022-08-25T18:32:09.470Z,Carmel,False
"[""GlobalShala"",""Illinois Institute of Technology"",""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",Male,"Congo, The Democratic Republic of the Congo",Undergraduate Student,2022-12-09T10:13:55.875Z,Beni,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,United States,Graduate Program Student,2023-07-10T18:51:44.992Z,saint louis,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,India,Undergraduate Student,2023-07-08T10:14:30.210Z,Amalapuram,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,United States,Graduate Program Student,2023-09-20T06:03:23.284Z,St Louis,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Egypt,Undergraduate Student,2023-05-15T21:26:09.788Z,Hyderabad,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,United States,Graduate Program Student,2023-06-06T12:05:07.821Z,Chicago,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Undergraduate Student,2023-07-09T08:08:57.279Z,Buldhana,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,India,Undergraduate Student,2023-08-12T10:49:07.403Z,Hyderabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Undergraduate Student,2023-05-10T04:10:52.495Z,Hyderabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,United States,Undergraduate Student,2023-03-13T15:45:38.826Z,Snow Camp,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Nigeria,Graduate Program Student,2023-07-14T11:13:44.160Z,Port Harcourt,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Egypt,Undergraduate Student,2023-06-16T12:02:57.649Z,cairo,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,Italy,Not in Education,2023-08-08T13:29:33.710Z,Pachino,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,United States,High School Student,2023-03-31T20:25:07.843Z,Johns Creek,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Undergraduate Student,2023-02-22T01:59:23.161Z,Hyderabad,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,Nigeria,Graduate Program Student,2023-07-12T12:10:20.598Z,LAGOS,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,Pakistan,Undergraduate Student,2023-06-13T10:43:40.264Z,Hyderabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Graduate Program Student,2023-06-02T15:33:56.934Z,Hyderabad,True
"[""Saint Louis University""]",Male,United States,High School Student,2023-05-21T18:29:31.181Z,New Hope,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Kenya,Undergraduate Student,2023-05-08T04:53:28.981Z,Hyderabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Egypt,Undergraduate Student,2023-06-13T10:02:54.043Z,Hyderabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Undergraduate Student,2023-08-16T02:38:30.886Z,Namakkal,True
"[""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",Female,India,Undergraduate Student,2023-01-27T09:04:47.201Z,Hyderabad,False
"[""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",Female,Nepal,Graduate Program Student,2022-10-17T14:48:00.519Z,Kathmandu,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Nigeria,Graduate Program Student,2023-06-17T18:39:23.339Z,FCT,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,India,Graduate Program Student,2023-07-27T13:14:51.965Z,Chennai,True
"[""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",Male,United States,Undergraduate Student,2022-11-01T17:24:44.877Z,Hyderabad,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,India,Undergraduate Student,2023-06-16T04:09:44.690Z,Hyderabad,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Female,India,Graduate Program Student,2023-05-06T04:26:27.854Z,Vishakapatnam,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,India,Undergraduate Student,2023-06-15T18:52:10.213Z,Delhi,True
"[""GlobalShala"",""Illinois Institute of Technology"",""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",Male,Ghana,Not in Education,2022-10-14T19:03:37.919Z,Accra,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,Ghana,Undergraduate Student,2023-06-15T11:17:34.379Z,Tamale,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",Male,United States,Graduate Program Student,2023-07-18T03:26:56.004Z,Saint Louis,False
"[""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",Female,India,Undergraduate Student,2022-10-30T17:21:16.058Z,Mysore,False
