Name,FullName,Age,Height,Weight,Nationality,Overall,Positions,PreferredFoot,IntReputation,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,STRating,LWRating,LFRating,CFRating,RFRating,RWRating,CAMRating,LMRating,CMRating,RMRating,LWBRating,CDMRating,RWBRating,LBRating,CBRating,RBRating,GKRating
E. Garnås,Espen Bjørnsen Garnås,27,190,84,Norway,66,CB,Right,1,2,2,Medium,Medium,39,32,46,45,65,79,35,28,67,60,30,39,32,32,49,52,38,39,38,62,50,45,71,68,90,26,69,64,30,35,35,54,66,65,62,14,9,12,6,6,47,41,42,42,42,41,45,46,52,46,58,63,58,59,68,59,17
L. Kruspzky,Lucas Kruspzky,30,175,71,Argentina,66,LB,Left,1,3,2,Medium,Medium,75,32,49,59,64,63,51,28,52,52,34,52,41,38,56,62,76,75,71,58,74,31,71,69,60,33,59,61,51,42,44,58,60,71,70,9,15,6,10,8,51,54,51,51,51,54,54,58,56,58,64,62,64,66,64,66,18
E. Jordanov,Edisson Jordanov,29,172,70,Bulgaria,66,"RB,RM,LB",Right,1,3,3,Medium,Medium,72,53,61,70,61,57,59,49,46,66,58,68,61,47,55,68,77,68,83,67,83,56,80,69,45,55,67,67,58,63,53,71,63,61,58,15,8,13,12,12,60,64,63,63,63,64,66,66,65,66,66,65,66,66,63,66,20
M. Chrapek,Michał Chrapek,30,177,74,Poland,66,"CM,CAM,CDM",Right,1,3,3,High,High,55,60,65,69,63,65,62,58,49,69,42,67,58,66,64,69,57,53,80,64,76,59,79,71,63,67,58,64,65,64,61,67,63,67,63,6,14,8,14,11,63,64,64,64,64,64,66,66,66,66,66,66,66,65,65,65,19
A. Zreľák,Adam Zreľák,28,183,80,Slovakia,66,ST,Left,1,4,2,Medium,High,63,65,48,62,29,76,63,66,66,48,66,58,45,41,39,65,70,58,65,65,69,68,78,68,81,57,73,25,72,43,68,61,27,26,19,13,14,7,10,7,66,61,62,62,62,61,60,62,54,62,49,46,49,47,47,47,19
J. Kramer,Joris Kramer,25,187,76,Netherlands,66,CB,Left,1,2,2,Medium,Medium,51,36,41,52,66,69,27,27,64,50,34,45,41,34,51,60,45,55,54,58,50,58,83,53,74,34,72,69,34,34,46,54,65,66,64,6,8,7,11,12,50,44,46,46,46,44,47,47,52,47,57,62,57,59,68,59,16
R. Dimitrov,Radoslav Dimitrov,33,174,74,Bulgaria,66,RB,Right,1,2,2,Medium,Medium,70,44,61,61,63,70,65,37,57,63,39,58,55,51,61,57,74,67,75,64,68,56,71,71,69,46,72,64,49,56,50,66,65,63,63,15,14,12,11,6,56,58,56,56,56,58,59,62,61,62,66,65,66,66,66,66,19
B. Roux,Baptiste Roux,22,190,79,France,66,"CB,CDM",Left,1,3,2,Low,High,59,39,55,57,66,68,41,31,68,67,37,52,32,31,60,65,56,61,53,61,45,56,73,62,75,40,58,65,42,58,44,63,67,65,65,11,14,12,6,6,55,53,54,54,54,53,58,57,61,57,63,66,63,64,68,64,17
Warleson,Warleson Lisboa Oliveira,25,191,87,Brazil,66,GK,Right,1,3,1,Medium,Medium,68,62,62,71,27,63,12,6,15,24,10,11,11,14,29,15,29,25,31,63,23,47,35,28,78,7,28,8,6,32,12,30,8,13,14,68,62,62,63,71,25,19,21,21,21,19,24,23,25,23,22,26,22,22,26,22,67
H. Mendyl,Hamza Mendyl,24,179,73,Morocco,66,"LB,LWB",Left,1,2,3,High,Medium,85,43,57,65,61,65,56,36,57,63,33,65,57,38,51,62,85,85,72,64,69,53,60,62,61,44,80,64,61,55,48,64,60,61,63,11,12,14,14,6,59,62,60,60,60,62,62,64,61,64,66,64,66,66,65,66,19
M. Steinmann,Matti Steinmann,27,188,80,Germany,66,"CM,CDM",Right,1,4,2,Medium,Medium,48,56,62,64,64,75,52,56,66,66,48,64,56,52,63,68,49,47,57,65,54,58,62,83,76,53,68,61,60,68,54,69,65,64,62,12,16,13,8,10,63,60,61,61,61,60,65,64,66,64,65,66,65,65,66,65,19
E. Pereyra,Elías Pereyra,23,172,69,Argentina,66,"LB,LWB",Left,1,3,2,Medium,Medium,72,32,54,64,63,58,59,29,51,62,27,63,35,32,44,64,74,71,65,61,70,27,63,68,54,34,55,68,56,52,46,61,63,62,66,10,7,12,12,14,52,58,55,55,55,58,59,62,59,62,67,63,67,66,63,66,18
E. Huth,Elias Huth,25,185,78,Germany,66,ST,Right,1,4,3,Medium,High,78,65,54,63,41,74,47,67,66,60,57,62,49,44,55,63,77,79,68,63,68,68,87,80,74,62,61,39,64,55,57,64,40,36,33,6,9,13,8,10,68,63,64,64,64,63,64,65,61,65,56,55,56,55,53,55,17
K. Dempsey,Kyle Dempsey,26,178,75,England,66,"CM,CAM",Right,1,3,3,High,High,69,60,64,65,60,72,59,59,51,67,47,64,61,65,66,65,68,70,69,64,73,62,77,91,62,63,70,63,66,65,48,67,60,62,59,10,9,16,8,11,64,64,64,64,64,64,67,67,67,67,67,67,67,67,64,67,18
C. McGeehan,Cameron McGeehan,27,180,71,Northern Ireland,66,"CM,CDM,CAM",Right,1,3,3,Medium,Medium,65,63,63,66,61,71,51,62,58,68,46,64,53,52,68,67,67,63,73,64,72,70,64,72,70,61,72,63,65,67,64,64,60,63,60,7,12,8,13,11,66,64,65,65,65,64,67,66,67,66,65,67,65,65,66,65,18
Mateus Fernandes,Mateus Gonçalo Espanha Fernandes,17,178,72,Portugal,66,"CM,CAM",Right,1,4,4,High,Medium,75,56,66,73,51,62,56,52,56,71,57,72,68,59,68,71,77,74,84,66,81,62,64,63,62,56,58,56,64,66,64,72,48,51,45,6,5,12,8,5,65,67,66,66,66,67,70,69,68,69,63,63,63,61,58,61,15
N. Thomas,Nigel Thomas,19,177,77,Netherlands,66,"LW,RW",Right,1,3,3,Medium,Medium,83,60,59,70,27,51,64,65,40,65,56,75,60,50,50,70,84,82,61,56,72,65,44,46,55,45,48,23,56,50,67,57,24,28,27,11,12,6,11,14,64,66,64,64,64,66,65,67,57,67,52,46,52,48,40,48,19
Zhang Chi,Chi Zhang,34,182,73,China PR,66,"RB,RM",Right,1,4,2,Medium,High,68,54,60,59,64,70,56,58,65,65,44,58,45,43,61,61,70,67,60,57,55,54,75,74,70,45,65,65,60,62,48,58,63,65,61,16,16,8,9,6,62,60,60,60,60,60,63,64,64,64,65,66,65,66,66,66,19
N. Diliberto,Noah Diliberto,20,175,65,France,66,"CM,CDM",Right,1,3,3,Medium,Medium,68,47,66,70,52,53,57,45,53,72,42,69,45,58,68,70,68,68,75,68,83,53,56,66,47,44,52,55,62,68,41,60,45,55,60,15,15,14,6,8,60,64,63,63,63,64,68,68,68,68,64,63,64,63,57,63,19
S. Román,Sergio Román,27,180,69,Colombia,66,GK,Right,1,2,1,Medium,Medium,67,60,57,72,43,68,16,13,13,29,13,21,15,20,23,24,41,46,34,52,45,43,59,32,68,16,21,23,12,23,23,34,28,13,14,67,60,57,68,72,29,25,26,26,26,25,28,28,27,28,29,29,29,28,30,28,67
L. Pavez,Luis Pavez,26,175,74,Chile,66,"LB,LM",Left,1,2,2,High,Medium,81,50,58,65,59,69,71,47,48,58,43,64,50,30,54,63,80,82,81,54,71,58,71,82,62,53,71,52,64,56,35,54,61,64,63,12,12,12,15,14,60,63,61,61,61,63,63,66,61,66,67,62,67,66,62,66,20
F. La Mantía,Francisco La Mantía,26,182,79,Venezuela,66,"CB,CDM",Right,1,2,2,Medium,High,65,52,57,47,67,70,61,44,62,64,34,41,57,52,42,54,61,69,34,57,63,61,74,71,71,66,63,64,45,53,62,56,71,64,71,5,5,8,10,12,56,53,53,53,53,53,55,56,57,56,66,64,66,67,68,67,15
Javi Pérez,Javier Pérez Mateo,26,184,74,Spain,66,"CDM,CM,CAM",Right,1,3,2,Medium,Medium,45,62,59,61,64,68,43,62,63,68,34,63,38,48,65,67,38,51,37,63,49,66,72,76,74,67,44,67,65,65,50,57,63,64,58,10,11,6,11,9,65,59,63,63,63,59,65,63,68,63,63,67,63,63,65,63,18
D. Čanađija,Dario Čanađija,28,176,71,Croatia,66,"CDM,CM",Right,1,3,2,Medium,Medium,63,55,60,66,62,72,50,54,56,65,48,63,52,46,62,65,66,61,72,68,78,60,50,77,71,55,72,64,63,63,49,65,61,62,62,14,9,12,13,12,63,62,62,62,62,62,65,65,66,65,65,66,65,65,65,65,20
A. Madibo,Assim Madibo,25,168,72,Qatar,66,"CDM,CM",Right,1,2,2,Medium,High,82,38,53,61,65,74,45,35,51,62,31,57,42,34,57,60,84,80,71,61,83,45,65,75,72,36,80,68,46,52,41,57,65,67,68,12,11,15,7,15,55,56,55,55,55,56,58,61,60,61,67,67,67,68,68,68,19
A. Manneh,Alasana Manneh,24,170,61,Gambia,66,"CM,CDM",Left,1,3,3,Medium,Medium,68,61,67,70,58,59,65,59,50,69,34,68,68,54,68,69,67,68,80,59,81,70,79,75,53,68,50,60,53,69,52,67,56,60,60,8,15,12,9,7,63,65,64,64,64,65,68,68,68,68,66,65,66,65,61,65,17
A. Leguizamón,Aníbal Leguizamón,30,182,83,Argentina,66,CB,Right,1,3,2,Medium,Medium,59,33,52,51,66,72,37,33,60,65,27,43,37,31,58,61,53,63,52,64,50,41,80,67,75,24,67,66,35,50,44,56,66,68,62,11,7,12,5,11,50,49,49,49,49,49,53,54,58,54,62,66,62,63,66,63,17
J. Hammar,Johan Hammar,28,197,84,Sweden,66,CB,Right,1,3,2,Medium,Medium,34,38,46,42,66,71,31,29,67,58,23,33,27,28,60,53,33,34,33,62,41,64,42,47,82,39,79,64,23,37,46,46,67,66,61,12,10,10,9,12,48,39,42,42,42,39,45,44,52,44,54,63,54,57,68,57,18
M. Gollner,Manfred Gollner,31,185,80,Austria,66,"CB,LB",Left,1,3,2,Medium,Medium,51,23,42,54,67,75,38,18,65,53,11,50,28,21,40,54,55,47,59,57,64,28,73,70,80,29,69,65,47,37,17,69,68,68,66,12,14,8,6,11,46,46,45,45,45,46,48,50,52,50,60,62,60,62,66,62,18
L. Del Pino Mago,Luis Del Pino Mago,27,183,86,Venezuela,66,"CB,LB",Left,1,2,2,Medium,Medium,71,41,56,53,66,69,61,34,64,64,19,56,41,50,63,48,69,73,56,59,54,59,66,65,73,42,66,63,40,39,57,52,66,68,67,12,14,9,8,12,54,53,51,51,51,53,54,57,57,57,65,64,65,66,67,66,19
D. Kother,Dominik Kother,22,180,67,Germany,66,LM,Right,1,3,3,Medium,Medium,81,62,54,71,21,49,64,67,46,59,54,73,45,37,42,70,82,80,83,63,68,58,72,58,48,59,33,19,60,49,49,53,21,16,18,9,9,11,10,8,65,67,65,65,65,67,66,67,56,67,50,42,50,46,36,46,17
T. Doumbia,Tongo Doumbia,32,191,79,Mali,66,"CDM,CM",Right,1,3,3,Low,High,63,58,62,63,64,81,60,55,65,65,60,64,58,57,59,65,62,63,63,62,48,63,81,70,86,60,81,63,58,62,58,64,63,65,63,10,16,11,9,15,64,62,62,62,62,62,64,64,65,64,66,66,66,66,66,66,20
M. Jakoliš,Marin Jakoliš,25,182,74,Croatia,66,"ST,LM",Right,1,3,2,Medium,Medium,68,64,62,66,49,58,70,65,63,66,60,66,57,43,48,66,70,67,70,67,67,66,67,54,66,62,41,52,66,63,54,60,30,59,53,12,8,11,6,9,68,66,66,66,66,66,67,67,63,67,61,57,61,60,57,60,17
J. Pretell,Jesús Pretell,23,173,72,Peru,66,"CDM,CM",Right,1,3,2,Medium,Medium,68,50,64,65,63,64,57,37,65,70,48,61,59,62,69,66,67,69,70,59,83,66,63,80,57,59,64,59,54,56,59,70,65,63,65,6,15,7,8,13,60,60,59,59,59,60,63,64,66,64,67,67,67,67,65,67,18
Juanpe,Juan Pedro Jiménez Melero,26,183,72,Spain,66,"CM,CDM",Right,1,3,2,Medium,Medium,71,64,67,66,59,72,65,65,53,66,47,66,56,54,72,71,68,74,61,47,63,69,69,82,71,64,63,55,61,72,61,67,63,60,53,7,10,11,6,11,65,65,65,65,65,65,68,69,68,69,65,66,65,64,62,64,15
J. Walton,Jack Walton,24,184,77,England,66,GK,Right,1,2,1,Medium,Medium,66,63,63,65,34,67,13,16,20,25,11,19,14,20,19,24,34,34,32,63,40,47,53,25,43,14,26,13,5,31,27,36,19,19,20,66,63,63,67,65,28,24,26,26,26,24,27,27,27,27,26,27,26,26,27,26,67
A. Andersson,Adam Andersson,25,176,68,Sweden,66,"LB,RB",Right,1,4,2,High,Medium,75,45,60,65,60,67,58,38,48,64,54,62,61,48,58,64,74,76,75,60,74,54,70,80,60,46,67,62,58,58,50,64,60,62,60,14,14,7,15,14,58,60,59,59,59,60,62,64,63,64,66,65,66,66,63,66,21
M. Enrique,Marcos Enrique,22,178,77,Argentina,66,CDM,Right,1,3,2,Medium,Medium,74,54,62,61,62,73,47,49,53,70,47,57,71,57,66,62,80,69,71,61,67,67,61,80,71,55,71,60,55,59,47,61,58,67,67,9,6,5,14,14,61,60,60,60,60,60,64,64,65,64,66,67,66,66,66,66,18
Filipe Nascimento,Filipe Guterres Nascimento,27,175,67,Portugal,66,"CM,CDM",Left,1,3,3,Medium,Medium,76,59,68,69,53,60,66,56,48,69,53,66,61,66,69,69,78,74,79,64,76,63,56,70,60,62,48,53,58,70,59,66,50,58,52,10,11,12,14,7,64,67,65,65,65,67,67,67,67,67,65,63,65,63,58,63,18
Luca Sangalli,Luca Sangalli Fuentes,27,167,72,Spain,66,"CM,CAM",Right,1,3,3,High,Medium,71,57,66,70,58,61,65,54,49,69,56,70,61,49,70,69,71,71,68,64,81,59,66,50,63,63,67,63,69,65,42,67,54,62,52,14,6,11,9,11,64,66,66,66,66,66,66,66,66,66,64,65,64,63,62,63,18
J. Epazo,Jefferson Epazo,38,190,88,Bolivia,66,GK,Right,1,2,1,Medium,Medium,67,65,66,64,36,65,9,8,10,23,9,9,8,7,22,21,34,38,31,65,41,50,67,41,81,7,36,11,11,69,21,67,11,10,10,67,65,66,65,64,28,24,27,27,27,24,30,28,31,28,24,29,24,24,27,24,66
O. Berber,Oğuzhan Berber,30,176,73,Turkey,66,"RB,RWB,LB",Left,1,2,2,Medium,High,72,38,52,61,63,67,55,28,60,60,25,58,49,35,49,64,76,68,66,61,66,56,63,69,69,43,62,59,52,40,38,47,62,66,70,10,11,11,9,11,55,56,55,55,55,56,56,59,57,59,65,63,65,66,66,66,18
M. Cestor,Mike Cestor,30,183,78,Congo DR,66,CB,Left,1,3,2,Medium,Medium,77,25,46,50,64,76,57,20,65,50,22,40,39,16,48,51,73,81,66,66,71,44,83,64,84,12,68,65,35,38,32,55,63,64,67,12,14,14,13,7,49,48,45,45,45,48,47,53,50,53,64,61,64,66,66,66,20
M. Malaeka,Mustafa Malaeka,36,185,82,Saudi Arabia,66,GK,Right,1,4,1,Medium,Medium,65,64,66,67,47,65,13,17,29,29,20,12,14,20,17,15,46,48,30,60,53,50,60,30,62,20,18,16,14,45,24,55,15,18,12,65,64,66,65,67,32,25,28,28,28,25,29,28,28,28,26,27,26,27,29,27,66
N. Weißhaupt,Noah Weißhaupt,20,181,72,Germany,66,"LM,CF",Right,1,3,3,Medium,Medium,72,57,62,68,32,46,64,58,39,66,52,70,60,59,57,67,76,69,75,56,70,60,47,56,41,54,45,30,62,60,53,49,27,35,35,10,15,9,8,5,61,65,63,63,63,65,66,67,61,67,54,50,54,51,42,51,17
R. Tagir,Ravil Tagir,19,182,70,Turkey,66,CB,Left,1,3,2,Medium,Medium,67,33,53,61,67,63,41,28,67,65,35,59,46,30,64,63,69,65,68,59,62,47,83,57,65,28,61,63,30,43,41,61,68,69,65,7,11,5,7,8,52,52,51,51,51,52,55,56,58,56,63,65,63,64,68,64,16
Ramón Enríquez,Ramón Enríquez Rodríguez,21,173,68,Spain,66,"CM,CDM",Right,1,3,3,Medium,Medium,69,62,67,65,57,63,65,61,54,70,49,64,64,49,68,65,69,69,62,63,79,71,63,73,60,62,59,61,63,67,56,60,44,67,65,10,7,11,11,5,65,65,65,65,65,65,68,68,68,68,67,66,67,66,62,66,16
C. Evans,Ched Evans,33,183,76,Wales,66,ST,Right,1,3,2,High,Medium,51,67,57,62,40,78,51,68,69,60,64,60,53,65,50,63,51,51,60,66,63,72,74,65,82,62,83,41,68,61,64,66,33,37,35,5,8,22,8,10,66,61,63,63,63,61,63,62,61,62,52,55,52,51,55,51,17
J. Marcinkowski,JT Marcinkowski,25,188,82,United States,66,GK,Right,1,2,1,Medium,Medium,67,63,69,68,22,66,11,7,15,46,8,15,12,13,36,25,21,24,23,59,45,52,61,40,68,7,43,11,6,36,18,52,12,13,14,67,63,69,66,68,27,22,25,25,25,22,29,28,33,28,26,32,26,25,29,25,67
R. Williams,Randell Williams,25,175,68,England,66,"RM,LW,RWB",Left,1,4,3,High,Medium,87,59,61,66,55,64,65,59,49,61,53,64,64,53,55,63,88,86,87,57,81,60,80,73,62,58,54,53,59,61,55,59,55,57,54,11,13,11,10,11,63,66,63,63,63,66,65,67,62,67,65,60,65,64,59,64,18
R. Curtis,Ronan Curtis,26,182,77,Republic of Ireland,66,"LM,ST",Right,1,4,4,High,High,83,64,59,66,48,76,61,63,55,58,59,66,60,60,52,65,83,83,80,57,62,70,73,85,68,65,84,52,61,62,53,64,40,50,47,10,14,12,14,8,66,66,65,65,65,66,66,66,63,66,63,60,63,61,58,61,19
A. Aseri,Abdulfatah Aseri,28,167,61,Saudi Arabia,66,"RM,CAM",Left,1,3,4,High,Medium,78,61,60,74,28,45,61,62,51,60,62,74,68,53,60,72,84,73,86,58,92,64,53,45,41,60,55,18,57,61,54,55,26,30,28,12,8,14,11,15,64,66,65,65,65,66,66,66,60,66,50,47,50,48,41,48,19
Wenderson,Wenderson Oliviera,23,174,75,Brazil,66,"LM,CM",Right,1,4,4,High,Low,83,54,61,70,35,63,58,48,40,64,58,69,58,55,58,67,83,83,82,52,87,65,59,72,62,54,56,32,64,65,52,67,38,32,32,6,7,12,7,11,62,65,63,63,63,65,66,67,62,67,56,53,56,53,46,53,15
L. Vilsvik,Lars Vilsvik,33,180,73,Norway,66,RB,Right,1,4,3,High,Medium,67,59,63,65,62,70,68,54,59,62,59,62,66,63,59,65,65,69,72,67,71,69,77,71,71,58,62,62,63,64,56,65,63,63,60,13,10,10,15,8,65,63,63,63,63,63,65,66,65,66,66,65,66,66,66,66,20
B. Țîru,Bogdan Țîru,28,185,80,Romania,66,CB,Right,1,3,2,High,Low,51,34,44,48,65,79,29,28,67,58,23,39,26,27,48,49,49,52,66,61,55,39,81,81,83,44,65,66,33,38,32,62,65,65,64,14,9,6,13,8,48,44,44,44,44,44,48,48,53,48,60,63,60,61,67,61,18
M. Gillesphey,Macaulay Gillesphey,26,188,70,England,66,CB,Left,1,3,2,Medium,High,52,36,52,54,64,79,37,28,63,65,34,53,38,51,62,55,51,53,49,58,62,58,83,82,84,33,62,63,29,38,49,53,62,66,65,15,9,8,10,11,51,47,47,47,47,47,51,53,57,53,62,65,62,63,68,63,18
S. Romero,Santiago Romero,32,176,75,Uruguay,66,"CM,RM,CDM",Right,1,3,2,Medium,High,71,64,64,61,65,72,56,55,72,68,70,56,62,61,63,65,75,68,66,71,69,77,76,75,69,72,76,73,62,67,66,62,61,58,70,12,10,15,9,14,66,63,65,65,65,63,66,66,66,66,66,66,66,66,66,66,20
E. Boateng,Emmanuel Boateng,28,168,68,Ghana,66,"LM,RM",Left,1,2,3,High,Medium,90,61,60,67,41,63,55,62,30,65,57,64,58,44,56,63,90,90,91,59,90,68,62,55,71,57,53,38,60,64,46,58,41,49,38,10,12,11,12,14,64,66,65,65,65,66,66,66,61,66,57,55,57,56,51,56,19
António Silva,António João Tavares Silva,18,187,80,Portugal,66,CB,Right,1,2,2,Medium,Medium,76,31,49,56,65,70,29,28,63,63,29,53,31,26,60,61,74,77,48,65,52,45,67,62,78,22,59,67,25,48,40,59,63,68,62,12,10,8,6,8,51,50,50,50,50,50,54,55,58,55,62,65,62,64,68,64,17
R. Giampaoli,Renzo Giampaoli,22,188,80,Argentina,66,CB,Right,1,3,2,High,High,64,33,50,58,64,71,40,26,63,64,38,55,38,35,56,63,62,66,58,64,58,52,71,67,75,26,67,63,35,38,43,58,62,67,68,14,7,10,10,5,52,51,50,50,50,51,53,55,57,55,63,65,63,65,68,65,17
G. François,Guillaume François,32,174,72,Belgium,66,"RWB,RM,RB",Right,1,4,3,High,Medium,65,57,62,67,64,65,64,54,53,63,54,66,62,59,59,66,68,63,71,62,76,62,72,65,64,59,68,64,64,59,58,66,66,64,64,12,16,6,14,6,63,63,62,62,62,63,65,65,64,65,66,66,66,66,66,66,19
V. Demaku,Vesel Demaku,22,180,68,Austria,66,"CDM,CM",Right,1,3,2,Medium,High,57,52,60,65,63,67,48,48,49,68,29,63,46,37,64,64,55,59,73,63,80,62,51,70,64,58,74,64,52,62,45,61,66,65,61,8,7,15,5,12,58,59,59,59,59,59,63,62,65,62,64,67,64,64,65,64,16
Ž. Majer,Žan Majer,29,180,70,Slovenia,66,CM,Right,1,3,3,Medium,Medium,60,58,68,69,51,64,65,56,49,71,45,71,61,61,73,69,64,56,66,63,70,58,54,70,60,65,70,56,56,66,57,71,49,52,50,11,10,15,8,14,62,65,64,64,64,65,66,66,66,66,63,64,63,61,58,61,19
S. van Wermeskerken,Sai van Wermeskerken,28,178,72,Japan,66,"RB,LB",Right,1,3,2,High,Medium,74,38,63,67,60,64,62,36,45,66,30,66,64,34,66,64,76,73,78,65,77,42,58,72,62,34,61,61,56,62,42,62,63,61,62,13,11,8,10,10,55,61,59,59,59,61,63,66,64,66,66,66,66,66,63,66,19
T. Galván,Tomás Galván,22,172,66,Argentina,66,"CAM,CM",Right,1,3,3,Medium,Low,76,61,63,71,35,46,62,60,40,68,61,72,67,55,61,68,81,71,79,58,79,65,50,54,39,62,54,29,60,60,51,69,39,35,33,14,6,6,13,8,63,67,65,65,65,67,68,68,62,68,55,52,55,52,44,52,17
C. Varela,Cristopher Varela,22,187,74,Venezuela,66,GK,Left,1,2,1,Medium,Medium,64,68,61,68,33,65,11,13,11,25,19,3,22,29,15,13,30,38,42,61,32,46,50,20,42,10,39,15,13,45,20,33,12,12,10,64,68,61,65,68,25,21,23,23,23,21,26,23,25,23,22,24,22,22,24,22,67
Andre Shinyashiki,Andre Bava Shinyashiki,25,175,68,Brazil,66,"LM,ST,CAM",Right,1,3,2,High,High,77,62,56,70,39,62,54,64,54,60,44,73,48,36,50,67,76,77,78,60,70,64,70,73,62,60,48,30,64,60,60,62,45,35,31,13,9,9,11,15,66,66,66,66,66,66,67,67,61,67,55,52,55,53,49,53,19
R. Kurzawa,Rafał Kurzawa,29,182,73,Poland,66,LM,Left,1,2,3,Medium,Medium,52,65,69,67,61,58,70,63,50,69,60,66,73,67,66,69,51,52,68,63,68,68,59,65,62,70,39,59,68,71,55,69,61,65,63,9,15,9,9,8,65,65,65,65,65,65,66,66,66,66,66,65,66,64,62,64,18
R. Buess,Roman Buess,29,183,78,Switzerland,66,ST,Right,1,4,2,Medium,Medium,76,67,63,63,42,72,60,67,52,64,49,61,64,50,61,61,76,76,70,70,68,71,74,80,73,64,61,47,72,69,72,60,27,52,39,6,10,8,9,12,66,66,66,66,66,66,66,66,66,66,60,59,60,58,54,58,18
V. Viola,Valentín Viola,30,182,76,Argentina,66,"ST,LM,RM",Right,1,3,3,Medium,Medium,68,65,63,68,34,65,62,65,64,66,65,68,55,66,59,68,69,68,69,62,64,65,65,55,71,65,62,24,66,64,64,68,43,24,22,15,7,16,8,6,66,66,66,66,66,66,66,66,62,66,52,51,52,49,48,49,17
K. Rolón,Kevin Rolón,21,171,67,Uruguay,66,"LB,LM,LWB",Left,1,2,2,High,Medium,67,46,50,63,62,49,73,41,36,44,36,59,53,62,36,64,69,65,71,69,72,57,61,70,42,45,39,70,63,44,37,52,55,73,64,9,9,7,7,11,55,59,56,56,56,59,56,61,56,61,67,59,67,66,59,66,18
G. Slonina,Gabriel Slonina,18,193,89,United States,66,GK,Right,1,2,1,Medium,Medium,69,62,62,65,41,65,14,7,11,25,8,13,10,14,23,15,44,37,39,67,35,47,50,34,63,8,39,15,5,50,12,48,14,10,12,69,62,62,65,65,26,23,25,25,25,23,28,27,28,27,26,28,26,25,26,25,67
D. Potts,Dan Potts,28,178,70,England,66,"CB,LB,LWB",Left,1,3,2,Medium,Medium,67,38,58,63,66,68,62,44,70,63,29,64,42,37,58,61,67,67,69,63,70,40,81,70,69,22,58,65,55,53,35,55,66,67,65,13,10,10,6,10,58,59,57,57,57,59,60,63,61,63,66,65,66,66,66,66,18
W. Bruin,Will Bruin,32,188,88,United States,66,ST,Right,1,3,2,High,Medium,52,65,56,61,36,75,45,67,74,60,61,59,64,52,48,65,50,54,58,64,54,69,76,62,85,58,67,31,68,64,57,70,44,22,21,10,7,12,10,10,66,60,63,63,63,60,63,61,59,61,48,51,48,47,51,47,17
A. Díaz,Alexander Díaz,22,172,73,Argentina,66,ST,Right,1,3,2,High,Medium,73,63,50,68,32,68,45,65,68,59,50,64,44,33,36,70,76,71,73,62,81,68,67,67,74,55,56,29,67,55,61,74,27,28,31,14,5,8,14,13,68,64,65,65,65,64,64,64,57,64,51,49,51,50,48,50,19
Álex Petxa,Álexander Petxarroman,25,178,67,Spain,66,RB,Right,1,3,2,Medium,Medium,70,49,64,60,61,65,66,40,60,66,34,58,70,68,62,60,69,71,73,60,73,64,65,79,59,59,63,58,58,58,45,47,60,64,63,9,9,6,14,12,59,60,59,59,59,60,62,64,64,64,67,65,67,66,64,66,18
Z. Valentin,Zarek Valentin,30,183,77,Puerto Rico,66,RB,Right,1,4,3,High,High,67,45,60,63,64,69,62,39,61,61,44,61,55,30,67,66,66,68,63,61,66,57,67,69,70,47,66,65,53,58,38,62,65,65,63,10,14,14,10,9,58,59,58,58,58,59,61,63,63,63,66,66,66,66,66,66,18
A. Richardson,Amir Richardson,20,195,79,France,66,"CDM,CM",Left,1,3,2,Medium,Medium,58,51,61,66,61,71,48,52,52,67,36,64,58,41,65,68,57,58,67,64,60,51,65,73,70,54,70,63,56,64,43,70,62,63,53,12,11,12,5,10,60,60,61,61,61,60,65,64,67,64,63,67,63,63,64,63,18
D. Méndez,Diego Méndez,31,185,73,Bolivia,66,GK,Right,1,3,1,Medium,Medium,64,66,64,66,30,67,23,10,33,16,7,9,13,25,33,20,33,25,23,61,46,48,70,23,49,11,20,12,8,27,50,35,6,16,15,64,66,64,67,66,27,20,22,22,22,20,23,24,25,24,23,24,23,24,25,24,66
Gu Cao,Cao Gu,36,183,73,China PR,66,CB,Right,1,2,2,Medium,High,70,40,46,58,66,75,49,46,60,50,22,60,24,24,51,54,66,74,58,61,61,38,74,72,77,33,75,66,54,43,30,57,68,67,64,10,7,6,9,8,56,55,53,53,53,55,55,58,56,58,64,63,64,65,66,65,16
M. Cheukoua,Michael Cheukoua,25,182,72,Cameroon,66,"RW,LW,RM",Right,1,3,2,Medium,Medium,76,68,58,67,30,62,57,67,55,62,54,65,42,68,46,68,78,75,74,63,72,74,59,77,64,69,38,28,65,61,56,60,38,20,19,10,11,9,14,9,68,66,66,66,66,66,67,67,61,67,53,49,53,50,43,50,19
