,reviews
159,"✅ Trip Verified |  I am always amazed with Qatar Airways services. The airport, the lounge, the staff, all is excellent. The most important takeaway is it makes me feel secure and little risks. Food is good. Attendants are so friendly and professional. Kudos to great service.
"
160,"✅ Trip Verified |  Doha Al Safwa lounge offered great service and food and drinks. Boarding as for most flights I had over the past year via a remote stand from the feared bus gate C41. At first we were told that business would board last (the opposite of my last flight, when I was told that Qatar changed its policy and business class pax would get on the bus first). After half way of boarding, the gate agent decided to hold the economy class boarding and to do the business class boarding now. The boarding procedure via bus gate seems to be unorganized and chaotic. The first thing I was told by the purser on board was that my ordered meal wasn’t on board. I ordered it days before the flight, received a confirmation email and it was even printed on my boarding pass. I was told that the meal booking was in the system, but catering failed to load it. This is the 2nd time this happened to me, the last time for to the non functioning of the app meal booking, which I reported to customer services who decided to ignore my mails. If Qatar offers this service of pre booking meals in business class, they should honor it! The flight itself was uneventful and on time. WiFi did work."
161,"✅ Trip Verified |  Check in was fast and friendly. Qatar does not permit access to its Bangkok business class lounge to its Platinum members. The contract Miracle lounge does not deserve the name and is one of the worst at BKK airport. Boarding was well organized besides the large number of pax due to the aircraft size. I was lucky to have a seat on the upper deck, which is more quiet. Flight was smooth and uneventful on the magnificent A380. Food was decent, though nothing special. WIFI did not work throughout the flight. Flight arrived on time and disembarkation was fast."
162,"✅ Trip Verified | I had a disappointing experience with Qatar Airways on flight QR426. The flight was scheduled to depart at 2:50 PM, but it was delayed until 3:30 PM  This unnecessary delay disrupted my schedule significantly and made me feel that my time was not valued."
163,"✅ Trip Verified |  Experienced worst food service in QR763 from Doha to Montreal. 2 times, for brunch and snack, we were served last and couldn't get what was in their menu. But we got the same reply ""we are running out of food"". Raised a complaint, but received only generic replies and no solution. Please don't make promises that you are giving world's best dining when you are not able to provide the same food to all of your passengers."
164,"✅ Trip Verified |  I arrived from Warsaw to Doha 12:06 and the airplane door opened 12:10, the bus took so long to get us to a gate that we only arrived at 12:30 and I arrived my gate to Erbil at 12:40 but the 12.55 flight was left.  It took me until 1:45 with transfer desk to call gate supervisor just to give me another ticket. And he told me no hotel because my connection was 50 minutes and not 45 minutes. He told me to get back at 6 am to see weather I am eligible to accommodation, went back to transfer desk only to find the hotel is fully booked after 4:30.  I messaged Qatar airways and they said that they cant do anything for me as its airport related."
165,✅ Trip Verified |  Seat 47H should not exist. Located almost at the rear where the aisle becomes narrower and narrower. Measured from the edge of seatback of 47F aisle seat to the edge of my seat 47H armrest = 20inches. 20 inches of aisle for pax and crew. Meanwhile big pax on right of the same row keeps elbowing me whenever he moves I highlighted this to the inflight supervisor and the pax seated on my right (middle seat) was offered a seat change as he too revealed that he felt that his seat was narrower than usual. Noticed 47C on this flight was not occupied. Anyone seated there would have experienced the same. Row 48 was a 2-3-2 configuration. AMS-DOH myIFE not working.
166,✅ Trip Verified | Most unhelpful airline. Flying with a newborn who has been very sick. Would not help to book bassinet and trying to charge $2.7k to change flights to week later. Communication is terrible and no compassion. 
167,"✅ Trip Verified |  Flight was fine but they lost my luggage. They still tell me they will get back to me soon, while I have been waiting for a response for 8 months. "
168,"✅ Trip Verified |   I can highly recommend Qatar Airways after flying with them more than once on very long flights, experiencing no problems. The staff are helpful and friendly, both ground and air staff - great service. In-flight experience was excellent. Very nice food and drinks menu and service was excellent. On-board entertainment choice was also excellent."
169,"✅ Trip Verified |   A solid flight. Excellent food, entertainment, and drinks. The seats are very comfortable. Early departure and arrival. They provide excellent service onboard and cabin crew are really attentive towards passengers needs."
170,"✅ Trip Verified | Connection from Doha to Warsaw on 16th May delayed from 8:35 to 13:12 including an excruciating 1 hour (after boarding) stuck inside a very hot plane in Doha. Landed in Warsaw over 4.5 hours later than the scheduled arrival time. Same flight on the previous day was also delayed by over 3 hours, so not a one-off. Awful experience. Definitely not a 5 Star airline in my view."
171,"✅ Trip Verified |  Qatar Airways lost my 7-year-old daughter's luggage and golf clubs. As a result, she was unable to compete in the European Golf Championship, an event she trained eight months for it. Luggage delays happen, but Qatar Airways' handling of the situation was appalling and lacked any compassion. Initially, they seemed unwilling to help. However, after we reported the missing bags, there was a chance they could still arrive in time for the tournament. Qatar Airways informed us they wouldn't transfer the luggage to another airline, even though it could have arrived in time for the tournament. This forced my daughter to withdraw, which was incredibly disappointing, especially after they initially indicated it might be possible to get her clubs there in time. The mishandling of Viviane's luggage, containing irreplaceable custom-made golf clubs and other essential equipment, directly resulted in her inability to compete in the European Golf Championship in Edinburgh. This loss represents not only a significant professional setback for a young athlete with immense promise but also a profound personal disappointment. The lack of care exhibited by Qatar Airways robbed her of a once-in-a-lifetime opportunity, the consequences of which extend far beyond the mere financial value of the lost items. Moreover, the provision of false information by Qatar Airways regarding the location and status of the luggage is a further aggravating factor in this case. The reply to all our emails: Sorry for the inconvenience."
172,"✅ Trip Verified |   In an effort to keep this within wording allowance I will keep this short. Going to the Philippines was without n event. The problems started on Apr 27th 2024 when we were returning. After arriving at gate in Davao we were told there was a delay but told it was only a few minutes. We were boarded and then offloaded. We were made to site for hours without being told anything. Around 1:30am we were told we would have to wait to 4:30am as airstrip is now closed. At 4:30am we were told we would be rerouted to Cebu instead of Doha. When we arrived in Cebu they were to arrange for a hotel and we would travel by bus.  They only secured 1 bus so it took hours. It was so hot that I started to get leg cramps and had to use a wheelchair. My legs gave me problems from this for days after returning home. Hotel was nice but this time was costly to me as a flight from Miami to Grand Cayman, Cayman Islands had to be rebooked at my expense of US$262 x 2 = US$524. We also lost our hotel reservation in Miami costing us another US$126. I reached out to seek compensation and they basically responded but ignored. "
173,"✅ Trip Verified | A solid flight with all expectations met. The Plaza Premium lounge in Jakarta is awful but as soon as you board you know you’re on Qatar. Excellent food, entertainment, and drinks. The seats are very comfortable and all the expected amenities are provided. Pyjamas, slippers, large blanket, two pillows and an amenity kit. My only criticism is that after the meal the attendants disappeared, however they answered call buttons immediately. Early departure and arrival."
174,"✅ Trip Verified |  Treated myself to an upgrade to Business class via an online offer. I was disappointed with the experience, no distinguishing between business and economy when waiting for the aircraft and boarding. Friendly staff and very welcoming. Food was nothing to write home about. Cabin seemed to feel noisy even though it was an early morning flight, couldn't get comfortable for a few hours sleep during the 9 hour flight. Hasn't stopped me booking Business class for my 25 hour return flight in September. Surely lightning cannot strike twice."
175,Not Verified |   I have flown to Doha from Bucharest and all I can say is that is one of the best airlines! They provide excellent service onboard and cabin crew are really attentive towards passengers needs! 
176,"✅ Trip Verified |  The A350-900 and B787s in Qatar Airways are equipped with the herringbone business class suites, not QSuites, The flight was delayed almost an hour and the pilot could not make up much of the time during the flight but we were exhausted and I could not enjoy my meals, my leek soup was watery the Arabic breakfast was good. WIFI was patchy I had a bulkhead seat and one of the cabin staff was gossiping loudly. "
177,"✅ Trip Verified |  A long trip, with the 16.5 hour non-stop from Auckland to Doha, then onwards to Beirut. Both flights were good, with clean and comfortable planes and a consistently high standard of service - though it's always interesting to see how one individual cabin crew can really make the difference. Crew are generally attentive, and always polite. On the flight from Auckland there was a pre-dinner drinks service (a rarity these days), and regular top-ups during the flight. Excellent selection of alcohol. Food was on the small size, and I find they scrimp with the meal and the condiments - no butter, no salt and pepper - but was pretty tasty. I'm not such a fan of Qatar's IFE - whilst there are lots of choices, they all seem quite mainstream and I struggle to find something I find interesting (I also flew Emirates and Air NZ on this trip, and didn't have that problem). Overall a good trip from a consistent carrier."
178,"✅ Trip Verified |   Shockingly bad ground service. Old aircraft with very outdated seats. Onboard food ok. Onboard service, excellent. Booked for 3 pax. As the result of upgrading one on points (second leg, return) , bookings were detached and two subsidiary pax then offered upgrades on outward leg at half the price offered to me. Change of aircraft on return leg resulted in downgrade from QSuites to 2-2-2 old business class. Seat allocations were not honored on return second leg. Luggage was mishandled in Doha resulting in non arrival. Doha transit staff were rude to young girl in front of us who was denied boarding because she was late to gate. Our luggage was at gate (could hear radio messages) but they never informed us that they weren't loading it. We were permitted to board. On finally getting our luggage that night delivery service person was rude and aggressive and tried to get me to sign waiver in the dark. When I tried to detach attached letter to customer he pulled it off me.  Only saving grace is that service attitude onboard was excellent. QATAR do not deserve any awards until they have a consistent product."
179,"✅ Trip Verified |   With turbulence very much in the news, the second sector of my flight from Doha was concerning as it was supposed to fly over Myanmar. The captain instead chose to fly around the country but there was still considerable clear air turbulence and breakfast service was cancelled. Not that I was aware as I managed to sleep through all of it! The flight attendants were excellent, passing through the cabin thereafter offering coffees and teas in styrofoam cups and I managed also to get a croissant. Speaking to fellow passengers after we landed, all agreed that QR had reacted very positively in what had obviously been difficult circumstances. As always an excellent airline."
180,✅ Trip Verified |  At Dublin Airport we were assisted by an extremely helpful staff member named Cedric. Continued on our journey through Doha and finally on to Perth. In-flight experience was excellent. Very nice food and drinks menu and service was excellent. On-board entertainment choice was also excellent. This was our 2nd time travelling to Australia with Qatar Airways having used other airlines on 3 previous occasions and I will definitely choose Qatar Airways again for my next visit
181,"Not Verified | Nothing to fault, on what were two pretty full sectors. The return leg some weeks later involved a 17.5 hour sector from AKL to DOH, but this did not feel too long. I would recommend them for travel between the UK and Australasia, if the departure & arrival times work (the sector into AKL arrives around 0400). The IFE is reasonable; EK's is better, with much more coverage."
182,"✅ Trip Verified |  My family and I were extremely disappointed with Qatar Airways. Our recent experience on a cherry blossom trip to Japan was nothing short of a nightmare. We missed our connection in Doha, and the staff suggested a nine to ten-hour journey through Saudi Arabia to Dubai instead of a direct one-hour flight. This was in the middle of the night with young kids. The staff at the airport were unhelpful and unprofessional, and we had to call the police to intervene so we could leave the airport and rest. Despite the long wait, we received no assistance or even a glass of water. Our luggage was lost, and we had to spend a significant amount of money in Doha to get by. The aircraft were cramped and uncomfortable, and despite knowing the flight would be late, no proper arrangements were made. The customer service response to our complaints was dismissive and unsatisfactory. Qatar Airways' treatment of passengers is unacceptable, especially for a five-star airline. Even low-cost carriers have treated us better. We will never travel with Qatar Airways again."
183,✅ Trip Verified |  The entire purpose of flying a longer distance for me was to experience the Q suites. Just a few hours before departure I received an email informing me the aircraft will not have Qsuites and it was too late to make any changes. The flight was delayed almost 2 hours. A lesson well learned.
184,"Not Verified | I can highly recommend Qatar Airways after flying with them more than once on very long flights, experiencing no problems. The staff are helpful and friendly, both ground and air staff - great service! The in-flight entertainment was good, so was the quality of everything we were given. There was plenty to eat and drink. Although the food was a little boring sometimes, there was a very good choice of drinks. The flights were on time. I was pleased with my experience with Qatar Airways."
185,"Not Verified | After a disastrous trip on the same route with Turkish Airlines I tried Qatar Airways, and it was like chalk and cheese. All the QR flights were bang on time, and were met by Ground Attendants eager to help. The Cabin Crew were working the whole flight with smiles and good humour. Cannot fault the service and Turkish could learn a lot from Qatar. Totally Professional."
186,"✅ Trip Verified |  I wasn't allowed to bring my carry-on suitcase into the cabin and I had to check it in. When my case broke, I had to go through extensive documentation repeatedly, and eventually, I gave up trying to follow up with them. The staff was unfriendly and rude to me."
187,"✅ Trip Verified |  I bought a ticket from Vancouver to Tehran with 2 stops in Seattle and Doha, the first flight was Alaska Airlines to get to Seattle, there was a delay and I got to the gate 10 minutes before the departure, they already closed the gate. We asked for the supervisor and they said they were all supervisors, zero empathy and customer service, kept repeating that it’s customers’ responsibility to take care of their accommodation till find another flight, they even didn’t get anyone’s information."
188,"✅ Trip Verified |   While the prices of the tickets have increased, the quality of service drops e.g. late in serving my meal, no attention to my request, amenities given in a cardboard box. They added a very complex pricing policy and in Business class you can't access to the Business Lounge except if you pay full fare. "
189,"✅ Trip Verified |   I travelled on Qatar Airways from Seattle to Jeddah (4 legs, 3 on economy class and 1 on the first class). The first class experience was amazing. You can book an economy and then look for deals to upgrade to business first. They really went above and beyond and the whole experience was totally different. The onboarding and in-flight economy experience were also better compared to my experience on couple other airlines. The staff is very accommodating. Earning Qatar Airways Avios is a plus."
190,"✅ Trip Verified |  Flew out on 10 Apr 2024 from Melbourne, via Doha and Dublin for 2 stopovers. Very satisfied with the services from MEL-DOH and DOH-DUB trips. Very good service onboard with the meals and IFE, no major delays with the flight times and the cost of the ticket. Only small gripe was boarding for the DOH-DUB leg, in Hamad airport, as there was a bit of waiting and we had to take a bus to the other side of the runway to board the plane. No problems with luggage, or the transit stopovers. Highly recommend."
191,"✅ Trip Verified |  I traveled from London Heathrow on 21st April at 15.05, the service was impeccable both ground staff and flight staff, also on onward flight from Doha to Perth I can’t praise the staff enough especially Patricia she was ground staff at Doha I hope I got her name right. I have my right hand/arm in a sling and got so much help so I thank all the staff from checking in at Heathrow to my final destination Perth. Thank you Philomena."
192,"✅ Trip Verified |   I purchased discounted business class tickets knowing that it did not include lounge access. I am a gold member of Virgin Australia and based on their website had access to partner lounges. I was refused entry to partner lounges in Hong Kong and was let into the lounge in Istanbul but was told that my status does not allow it, but being in business class does. The transit through Doha was the worst I have experienced. Arriving at a bus gate and transiting to a flight at another bus gate took 1.5 hrs . Horrible experience. Only two flights had service that met my expectations. The product was also quite inconsistent 2 aircraft were great and 2 were old and not so great. In regards to the discount business ticket, Virgin Australia confirmed I did have access to partner lounges and Qatar ground staff confirmed I only had access to the gold lounge in Doha and not third party lounges. "
193,✅ Trip Verified |   An older plane with old business class seats. The service was ok but the Malay Curry had rice not fit to eat. The plane had it’s paint on the inside peeling off  badly upkept in a very bad condition
194,"✅ Trip Verified |  We flew from Larnaca, Cyprus to Colombo, Sri Lanka via Doha and I was not entirely impressed by Qatar Airways. The checkin (web checkin) was efficient. The plane, especially the A320, felt dated and in need of a good cleaning. The seats are on the small side and somehow really hard and uncomfortable. I ordered a vegan meal option and this was the only thing that really impressed me. The cabin crew was friendly generally and efficient. Slightly better was the legs on the B787, however, for it being one of the newest planes, they also seemed beaten up already. The trim of the inside plastic was not secure at some spots, my screen (I was at an emergency row) had one corner bashed in and in Doha we were assigned to a bus gate with the usual 20 minute trip to the terminal building. Again, the seats were small and felt like an old bus seat rather than an aircraft seat. I wouldn't avoid the airline in the future but I would look if there are any alternative options before booking with it again."
195,"✅ Trip Verified | Our original booking which was with a stopover in JNB was cancelled and just our group of 7 passengers were put on a flight that was originally going to Maputo which was diverted to Durban to drop us off and then continue to it’s original destination, only Qatar Airways would go to these lengths! I must thank them! As for the service, it was fantastic, much better than I expected and WIFI was operational. Arrival in Durban was smooth, the asparagus soup was great. All in all the airline is keeping it’s great standards if not improving them."
196,"✅ Trip Verified |  I was contacted in the afternoon of my outbound flight and told they had overbooked business class, and I was invited to change. I explained that I couldn't and was told that was fine. I turned up at Sydney airport that evening and was told I didn't have a seat and couldn't fly.  I was offered an upgrade if I agreed to fly a day later. I had no choice but to accept. At this point, the offer was downgraded to only one of the flights to the UK being upgraded and I was forced to sign a disclaimer waiving any right to further recourse. When I finally boarded my first class leg the following day, there was no power on the aircraft so I was left with a dead and unchargeable device after 2 hours. They tried to charge it in the flight deck for 5.5 hours and it returned with 25% charge. The wifi I paid for didn't work and the in-flight entertainment was an out of date selection and the console only worked intermittently. On my return to Sydney, I returned via Gatwick and was forced to open my suitcases and abandon some of my luggage and they explained that this was because no case could be over 32kilos. I headed to find the lounge and eventually found their shared lounge and was told that my ticket did not entitle me to access.  When I was finally aboard and the flight manager invited me to share feedback, I politely explained that I'd had a less than ideal experience with Qatar so far and a challenging morning. She smiled and assured me that the lounges in Doha were lovely. This proved to be academic advice as I was declined access there too. At this point, exhausted and less than half way through a 28 hour journey, I asked to speak to the Qatar Airlines Supervisor. This man waived a piece of laminated paper at me and explained, as if this were common knowledge, that Qatar offered 4 types of business class ticket and that I had purchased a 'business class lite' ticket. Furthermore, if I'd read the small print on their website I would see that it did not entitle me to lounge access. "
197,Not Verified | The cabin is clean. Flight attendants are polite. Seats are comfortable and can be reclined easily. The food is delicious and fresh. Flights departed on time.
198,"✅ Trip Verified |  I'm a loyal Qatar Airways customer and absolutely love their service, especially the fantastic flight attendants. The only downside is the long wait for buses at Doha Airport during connecting flights. It would be great if they could find a solution to streamline this process and save passengers time and discomfort."
199,"✅ Trip Verified |  Checkin fast and friendly, security and automated passport check done within 10 minutes. Frankfurt lounge basic and nothing to shout about. Boarding well organized and departure on time. Before departure my favorite rose champagne served, which was out of stock after take off, the same happened a week earlier on my flight from Doha to Frankfurt. Food was ok, service very good. Qsuite provides a lot of privacy, but seat too narrow for a decent sleep. Arrival in Doha 15 minutes ahead of time at a proper contact gate. Overall a good flight; except for some catering shortcomings."
200,✅ Trip Verified |  Chose the airline due to them operating the Q Suite on this route and paid £260 for us to sit together. Sadly no QSuite and average service. The ground crew and lounges at DOH did make up for our disappointment.
201,"✅ Trip Verified |  Travel with Qatar Airways is an enjoyable experience. Aircraft always clean, kindness of cabin crews and for the quality of food served both at aircraft and lounges. The only problem is the time required to do the transfer at Doha airport. From the landing to the security control it use to take one hour and if you have for example a connection time of 90 minutes you have to run, losing the opportunity to enjoy the offer of service and shop at the airport, but above all, you risk losing the connection."
202,"✅ Trip Verified |  Reschedule of outbound flights was quite inconvenient for us. Had to contact customer service to change them. At least, they did a good job. Flights delayed between one and two hours. Quite mess in the flight Doha-Saigon due to miss of buses from terminal to aircraft during the boarding process.  Two bags broken. After inspection at the arrival, they took nearly one month and a half to set that they will compensate us for half of the bags value. Transfer still pending to be processed. The case needed a follow up from my side after one month, because no action taken."
203,"✅ Trip Verified |  Check in, security check and boarding fast and efficient as always in. Last minute aircraft change from a B789 to an older 788, which caused a lot of unhappiness among those who paid for their bulkhead seat, and were assigned a random seat. But the professional purser defused a tense situation. Flight itself was uneventful, service slow and not enough food for the 6h flight. Scrapping the sandwich service before arrival is not a good idea. Catering ex Munich used to be very good, but the food was disappointing in taste and presentation."
204,"✅ Trip Verified |  A good plane and crew on this leg. Had a middle seat assigned but a window seat was free and they moved me there. Crew was excellent. Food and beverages good. Watched movies ate too much and slept, so a great flight."
205,✅ Trip Verified |  What a disappointment this flight was. It was supposed t0 be an A350 in Q suites but substituted with an 11 year old A330 in a 2-2-2. The seats were narrow and space limited so much that the lady by the window moved and I had a pair to myself. Crew were great and the rest of the product was good.
206,✅ Trip Verified |  Our first time flying with Qatar. We booked direct with the airline which hassle free. Flight times were good for a long haul flight and the price was competitive. Communication from the airline was good throughout. We checked in online. Bag drop was very easy and quick. The service on the actual flight was excellent. The plane was clean and appeared to be quite new. Transfer at Doha was easy for our onward flight. I will definitely check out their prices on future flights and would be happy to fly with Qatar again.
207,✅ Trip Verified |  Goa to Doha in Business Class on a Boeing 787-8. Check-in at Goa Dabolim airport was a breeze as was the pre-flight experience. Flight was on time. The short hop to Doha (3 hours) was pleasant. Qatar's hard product & soft product were expectedly outstanding. This is a highly convenient flight for residents of Goa as it obviates the need to fly to Mumbai.
208,"✅ Trip Verified |  I have always received fantastic service from the Qatar Airways staff both at the airport and in the airplane. This time was no different: simply world-class customer service with smiles, lots of personal attention, careful and correct consideration of the customer's needs and comfort and outstanding politeness overall. I dare to say that QR's cabin crew can serve as an example of good customer service to any other airline. During my trip I used two lounges: one in Helsinki and one in Bangkok. The BKK lounge was a true Qatar-branded lounge and offered a true luxury experience. Great food, great service, beautiful interior design and lots of comfort and peace to prepare for a long flight. Would love to visit again. As for the flights, Qsuite offered a close to perfect business class comfort. The door improves privacy a great deal. The seats even have a massage function and plenty of controls to find you the right settings. I am 190 cm tall and was able to sleep comfortably in the space provided by the Qsuite. The entertainment system worked great and offered a variety of movie options from horror to romcom. Music options even had heavy and extreme metal which I liked as a fan of the genres (I think you could bring even more of these available, QR). During the flights, it was possible to dine however and when you wanted, exactly what you'd want when paying this much extra. Food options were plentiful and delicious with good presentation, and wine and drink selection complimented the food options very well. No complaints here either. Qatar Airways, I want you to keep doing what you are currently doing. Your understanding for what the customer wants is on an excellent level and you are able to provide solutions and service to match the customer expectations."
209,✅ Trip Verified |  Mumbai to Doha with IndiGo. Both IndiGo & Qatar Airways provide very poor support following a 3 hour delay with no food or ongoing flight support for missed connection. Arrived at London Heathrow 10 hours after scheduled arrival time. Attempted to resolve issue and both airlines blame each other for the delay and missed connection. The only way we became aware of our alternative flights was because we had the Qatar app which was updated after a four hour wait in Doha. 
210,"✅ Trip Verified |  Left my mobile phone on flight which landed in Doha. Immediately informed Qatar customer services who made a phone call and told me the phone had been found.  I asked if they could get it to me before my onward flight but the phone had to go through their lost/found ""procedures"". Completed form at haqiba qatarairways report inquiry, sent endless emails, asked our travel agent to contact them on my behalf, asked my son to contact them on my behalf, both from UK as we were in Japan. Absolutely no response. Fast forward 4 weeks and end of holiday, transiting back through Doha I went to Qatar help desk and explained the situation. The gentleman on the desk made a phone call and informed me that they didn't have the phone. So what happened to it? What happened to the courtesy of replying to my, my agents, my sons phone calls and emails? I know that it was my responsibility to take care of my phone but when you have been told that it has been found and then unfound what am I supposed to think?"
211,✅ Trip Verified |  I am a big fan of Qatar Airways but since they have partnered with American Airlines the aircraft is changeable. I had to fly from Doha to Philadelphia via and the flight was operated by American Airlines and the service was below average. Air hostesses were least bothered to arrive on ringing them. also they were hesitant to put your overhead luggage or even straighten them out. My point is once we book Qatar Airways we expect standard but the change to American Airlines is lowering the standard. Next time i will not want to travel with American Airlines for 13hr long journey.
212,"✅ Trip Verified | As a Silver member of Qatar FF program I was very surprised to be upgraded on this sector flying to Sydney, Australia.  I was therefore surprised to be upgraded from economy to business class on this sector. The check-in person at Manchester was lovely but I couldn't give you her name as she did not have a name tag on, neither did the person who helped me with the auto check-in counter. The QSuite on this 777-ER was exceptional, large space and not confined like other airlines. All the bells and whistles as one would come to expect from the plethora of buttons available that do everything to enhance the flying experience and comfort within your suite. The seat, blanket and pillows were comfortable and warm. The food & beverage service was excellent, the cabin service (by Natalia) was exceptional and the attention to detail was without fault. As the plane was ascending out of Manchester, the door of my suite slid back off its tracking and hit my right shoulder and left knee. Once we were at altitude Natalia and Mary (Cabin Services Manager) were there instantly to assist me by offering ice and towels to aid my shoulder and knee. This was not required as little harm was done. They couldn't have been more helpful or apologetic for something that was outside their control. The flight was smooth, the Captain was informative without being overly so and the staff where fantastic. I couldn't see how Qatar had over 4,500 options for TV, Music and other entertainment and therefore did not use this service. The cabin wifi & connectivity did not appear to work, having said this, I'm not the most literate or tech savvy guest so perhaps in fairness to Qatar, it was available but I just could not connect. On arrival in Doha I headed to the Silver lounge for a shower and this helped my shoulder and knee. Overall, an excellent experience with one minor glitch (door above). Don't know how I got the upgrade (after all these years of flying with Qatar) but it was most welcome and having flown in business class with many other airlines, it was simply the best!"
213,"Not Verified |  Flight left Manchester about 35 minutes late, Pilot stated the reason was for the late departure was the late boarding of passengers and arrived at Doha 30 minutes late, our flight to Kuala Lumpur was due to depart in 45 minutes, but met at the gate to be told flight had closed and we would be put on the next flight 12 hours later. Qatar Airways put us in a nice hotel and paid for meals etc. It was frustrating as we lost out on a hotel I had paid for for our original arrival, and on arrival in Malaysia had to wait 7 hours in the airport for our flight as opposed to 3 hours we had planned. The Boeing 787 flight was ok, food mediocre except for the roll they offer prior to landing was awful, in contrast the Boeing 777 are showing their age. Seats very uncomfortable, entertainment slow to respond and my touch screen not working. The cabin crew were very attentive and polite on all flights, it was the same for the return flight. I claimed for the delay as per regulations and they sent a long apologetic response within 48 hrs claiming the delay was because of a Air Traffic Issue, which was not true."
214,"✅ Trip Verified |  Boarding was well organized; with a proper gate and not the dreaded bus transfer to the aircraft. The newer B789 seat has more privacy with the sliding door, but the footrest is too narrow for tall side sleeper like me. I am flying Qatar often for many years, and today was the first time that that the service was well below average. Maybe it was the full business cabin, maybe the flight attendant had a bad day. It started with the welcome drink, which was served while the aircraft was taxiing already (40 min after I got to my seat), and was taken away 2 min later because the aircraft was ready to take off. The meal service dragged on for almost three hours, while the empty main course plate was sitting on my tray for almost an hour. The beverage of my choice was never served until after the main course was served (I had to call the attendant), and was given another drink, because the drink of my choice was out. When it came to distribute the hot towel after the meal, she did not have enough for the last row where I was seated, and she never bothered to come back to us. There was a light meal before arrival, which I requested for as late as possible, but was told 2h before arrival that I had to eat now, because the galley was going to close. So I had one hour between meals. Wifi worked well throughout the flight, arrival was 20 min ahead of schedule."
215,"✅ Trip Verified |  Everything was perfect, from the check-in to the arrival. The business Class with the closing door is a game changer which permit to have enough confidentiality to work properly, and the global comfort is clearly one of the Highest I tried. The cabin crew is really nice, always smiling and present when needed."
216,"✅ Trip Verified |  Checkin, security and immigration was fast and efficient. Contract lounge was comfortable with decent food. Boarding was well organized. The flight was operated by a leased Oman Air A332, with a QR flight number and crew. Food was decent, but not spectacular on this 5h day flight. Service was outstanding, probably also because of just 6 pax in the front cabin. The best part of the flight was the wide and large seat. I slept for a solid 3 hours, something which I can’t, even on longer overnight flights. The seat is so much more comfy than the Qsuite or the herringbone seats on the Qatar fleet. I hope that the upcoming improved Qsuite will be something like this. WIFI not working throughout the flight, there was not even a signal to log on. Overall a very good flight, mainly due to the comfortable seat on a non QR aircraft."
217,"✅ Trip Verified |  This was my first time flying Qatar in Business class, having flown in their economy class several times. I was not impressed. Boarding at Doha was a mess with a disorganised gate staff who would allow everyone to board at the same time not paying much attention to priority passengers. The crew were very polite and friendly. I was never addressed by name and the crew never introduced themselves or really explained the ""dining on demand"" concept. I was never asked if I would like to have a light meal before landing. Yes, I know I could have asked but for a so-called 5* airline one would expect a more pro-active service. This was a day flight and the crew didn't really offer me drinks outside the meal service."
218,"✅ Trip Verified | Boarding via a bus gate, I am grateful that Qatar finally changed its policy and let Business class pax board first. Flight on time, service great as always in Qatar business class. I tried to pre order my meal through the app, which was not working. 4 emails about the issue to customer services remain unanswered till today. The big letdown on this flight was the catering. The flight departed Doha at 3 am, and got into Colombo at 9.30 am. A big 4 course meal was served after take off at about 4 am, and no breakfast was served upon arrival. I saw hardly anyone eating on this flight. Does Qatar really expect their passenger to have a 4 course meal at 4 am? And why is there not even a light breakfast on arrival, as it is for comparable flights, e.g. Doha to Bangkok? All passengers want to do on a red eye nightlight is to sleep, and eat something before arrival."
219,✅ Trip Verified |  Excellent food and flight attendant service. Shanika is an exquisite stewardess. Qatar Airways have become a very good carrier. Would fly with them again.
220,"✅ Trip Verified |  The flights were steady enough, both legs were a different experience. I have flown with Qatar airlines a few times and I think that they are average. In flight entertainment was different on both flights. My food was average and not very tasty. Cabin crew are friendly. Biggest negative was before taking off from Doha we were sat on the plane for an hour without air con and it was extremely uncomfortable. "
221,"Not Verified | First time taking this as recommended by my friends, was sceptical but in the end enjoyed the flight and Doha Airport. Staff keep feeding till you are full. Friendly staff and clean plane. Exciting Airport with lots of shopping and eateries (Asian, Indian, Fusion). Value for money.  Will recommend to others and taking this airline again."
222,"✅ Trip Verified |  There was just one meal on this flight. Service was unorganized and took 3.5h to complete. Food was presented on a tiny tray and was not good in terms of taste and amount. There was no 2nd sandwich service as they used to do on flights to Europe. When I asked the purser why there is no more food, I was told that the Boeing 787 does not have enough storage space, since catering to Europe is done on Doha for the in and inbound flight. "
223,"✅ Trip Verified |  Reserved aisle seats 3 months prior, as I have problems with my hip joint and need to extend the leg. At the time of the checking we were given completely different seats, in the middle, and separated from my friend I was traveling with) . Complete lack of cooperation and understanding from the airport Qatar staff and the person at the check in desk was rude and arrogant to me. The seats in economy class were very uncomfortable and my food was horrible."
224,"Not Verified |   Very happy with Qatar Airways, A little bit cramped with space on the first route from Copenhagen to Doha. The crew know what they are doing and the service is good as is the food served"
225,"✅ Trip Verified |  Swift and friendly check in at BKK airport, boarding well organized and smooth. Aircraft ex Cathay Pacific aircraft with more comfortable seats than the Qsuite. Service and catering very good. WiFi not working throughout the flight. Oryx Entertainment system on CX leased aircrafts a watered down version of the usual system with limited Movies and Music choices. Flight on time"
